source	hasDoc	hasIntent	hasBehavior	hasConstraint	hasIO	hasCallChain	hasState	missingSections
src/agents/tools/browser-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/canvas-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/common.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/cron-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/discord-actions-guild.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/discord-actions-messaging.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/discord-actions-moderation.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/discord-actions-presence.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/discord-actions.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/gateway-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/gateway.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/image-tool.helpers.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/image-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/memory-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/message-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/nodes-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/nodes-utils.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/session-status-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/sessions-announce-target.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/sessions-helpers.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/sessions-history-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/sessions-list-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/sessions-send-helpers.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/sessions-send-tool.a2a.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/sessions-send-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/sessions-spawn-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/slack-actions.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/telegram-actions.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/tts-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/web-fetch-utils.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/web-fetch.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/web-search.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/web-shared.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/web-tools.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/whatsapp-actions.ts	true	true	false	false	true	true	true	行为,约束
src/agents/transcript-policy.ts	true	true	false	false	true	true	true	行为,约束
src/agents/usage.ts	true	true	false	false	true	true	true	行为,约束
src/agents/venice-models.ts	true	true	false	false	true	true	true	行为,约束
src/agents/workspace-run.ts	true	true	false	false	true	true	true	行为,约束
src/agents/workspace-templates.ts	true	true	false	false	true	true	true	行为,约束
src/agents/workspace.ts	true	true	false	false	true	true	true	行为,约束
src/auto-reply/chunk.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/command-auth.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/command-detection.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/commands-args.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/commands-registry.data.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/commands-registry.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/commands-registry.types.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/dispatch.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/envelope.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/group-activation.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/heartbeat.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/inbound-debounce.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/media-note.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/model.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/abort.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/agent-runner-execution.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/agent-runner-helpers.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/agent-runner-memory.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/agent-runner-payloads.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/agent-runner-utils.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/agent-runner.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/audio-tags.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/bash-command.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/block-reply-coalescer.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/block-reply-pipeline.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/block-streaming.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/body.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-allowlist.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-approve.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-bash.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-compact.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-config.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-context-report.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-context.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-core.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-info.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-models.ts	false	false	false	false	false	false	false	缺失文档
src/auto-reply/reply/commands-plugin.ts	false	false	false	false	false	false	false	缺失文档
